"High.plateau"	"Low.plateau"	"Slope"	"Stream"	"Swamp"	"Young"
"jac1co"	0.435534964758058	1	0.517865146955241	0.460468426501035	0.0956817509612541	0.37750799924713
"lindla"	0.180327868852459	0.360123647604328	0.116838487972509	0.03125	1	0.218181818181818
"loncla"	0.285765475230673	0.528162768895533	0.46166413159822	0.619877049180328	0.579625292740047	1
"luehse"	0.286885245901639	0.167156105100464	0.158762886597938	0	1	0.601363636363636
"maquco"	0.547008547008547	0.646772084175484	0.885364349281875	1	0.0586080586080586	0.432634032634033
"micoar"	0.506094997898276	0.319581500416122	0.129526830557758	0.100961538461538	1	0.528671328671329
"ocotwh"	0.0649994016991744	0.200261735804781	1	0.41154197080292	0	0.0386197743861977
"oenoma"	0.518607580442002	1	0.743159316303487	0.74318318447269	0.867873910127431	0.218219293588582
"pla1pi"	0.333073119958366	0.511076764554353	0.219931271477663	1	0.108843537414966	0.277056277056277
"poular"	0.0936200411610248	0.32048415263253	1	0.708603896103896	0.00299938157081014	0.0412278630460449
"poutre"	0.346174863387978	0.352704791344668	0.239347079037801	0.175	1	0.235454545454545
"pri2co"	0.657528280200835	1	0.566097310457641	0.731157749077491	0.102319451765946	0.434082522643408
"protco"	0.555448408871746	0.426220565505955	0.572468162522741	1	0	0.53048128342246
"protte"	0.491892132036074	0.462019828853621	0.531947587517112	1	0.21680216802168	0.279083518107908
"pterro"	0.326411657559198	0.287068521380732	0.314318442153494	0.233333333333333	1	0.407272727272727
"quaras"	1	0.641024715076052	0.863956065131516	0.908586448598131	0.173064085447263	0.579163126593033
"randar"	0.912330719885959	0.51752794391058	0.328303202350715	1	0.452726017943409	0.4300395256917
"simaam"	0.455674768483831	1	0.542631787255696	0.96103747714808	0.0281622703926177	0.0215057337543626
"sloate"	0.703527074018877	0.528818322326823	1	0.936931818181818	0	0
"socrex"	0.0551046907969485	0.956685081181998	1	0.31512995049505	0.0228665723715229	0.0174617461746175
"sponra"	0.298296367727419	0.494590417310665	0.705073782090156	1	0.80672268907563	0.992513368983957
"swars1"	1	0.620191177254359	0.401810919888752	0.301597363083164	0.583309185743263	0.411690945970865
"tab1ro"	0.424590163934426	0.245054095826893	0.34639175257732	0.2625	1	0.553636363636364
"tab2ar"	0.403012542823976	1	0.467384475290036	0.85304866765359	0.946406541891368	0.835906062849068
"tachve"	0.772124866528484	1	0.811401429869258	0.755298132183908	0.354132457580733	0.50705329153605
"tet2pa"	0.340405227904411	1	0.744075245410112	0.416189409030544	0.398928097135269	0.28120246287577
"tri2pa"	0.723764915802387	0.494432703529634	0.127288028613507	0.14030612244898	0.507774538386783	1
"tri2tu"	1	0.656873669276488	0.414655816774084	0.320750683994528	0.439091915836102	0.893645069021266
"tripcu"	0.360470501065111	0.0843528148167553	0.0970353544178461	0.133474576271186	1	0.0604006163328197
"turpoc"	1	0.76150279396029	0.55146708961142	0.791826923076923	0	0.0511888111888112
"unonpi"	0.702012171719941	0.810786082407613	1	0.790760869565217	0	0.106172088780784
"virose"	0.761621603863465	0.807149074036791	1	0.45559869739479	0.0902519324363012	0.768719256695209
"virosu"	0.216194734227521	0.323731909512435	0.853733208372384	1	0.221645021645022	0.190413223140496
"xyl1ma"	0.24072844209864	0.371130657158017	1	0.116337953091684	0.147730734084679	0.0112812560573755
"zantbe"	0.652711223203026	1	0.786730108379593	0.311057692307692	0	0
"zantp1"	0.983796626277025	1	0.493007619901389	0.527445652173913	0.669772256728778	0.920632411067194
